id,I,C,P,U0,U1,EV
0,0,0,4,0,-4,61.1278
1,1,0,4,0,-4,65.0102
2,2,0,4,0,-4,68.4821
3,3,0,4,0,-4,71.6687
4,4,0,4,0,-4,74.6302
5,5,0,4,0,-4,77.3943
6,6,0,4,0,-4,79.9588
7,7,0,4,0,-4,82.2633
8,8,0,4,0,-4,84.0732
9,0,1,4,-4,-2,58.491
10,1,1,4,2,-2,63.1278
11,2,1,4,2,-2,67.0102
12,3,1,4,2,-2,70.4821
13,4,1,4,2,-2,73.6687
14,5,1,4,2,-2,76.6302
15,6,1,4,2,-2,79.3943
16,7,1,4,2,-2,81.9588
17,8,1,4,2,-2,84.2633
18,0,0,1,0,-1,63.2441
19,1,0,1,0,-1,66.8946
20,2,0,1,0,-1,70.2031
21,3,0,1,0,-1,73.2605
22,4,0,1,0,-1,76.1102
23,5,0,1,0,-1,78.7659
24,6,0,1,0,-1,81.2009
25,7,0,1,0,-1,83.2815
26,8,0,1,0,-1,84.2775
27,0,1,1,-4,1,61.0255
28,1,1,1,2,1,65.2441
29,2,1,1,2,1,68.8946
30,3,1,1,2,1,72.2031
31,4,1,1,2,1,75.2605
32,5,1,1,2,1,78.1102
33,6,1,1,2,1,80.7659
34,7,1,1,2,1,83.2009
35,8,1,1,2,1,85.2815
