id,I,C,P,P0hat,P1hat,EV,EVhat,Diff_EV
0,0,0,4,0.4754,0.5246,61.1278,61.1278,0
1,1,0,4,0.6085,0.3915,65.0102,65.0102,0
2,2,0,4,0.6828,0.3172,68.4821,68.4821,0
3,3,0,4,0.7204,0.2796,71.6687,71.6687,0
4,4,0,4,0.7725,0.2275,74.6302,74.6302,0
5,5,0,4,0.8278,0.1722,77.3943,77.3943,0
6,6,0,4,0.8241,0.1759,79.9588,79.9588,0
7,7,0,4,0.8182,0.1818,82.2633,82.2633,0
8,8,0,4,0.999,0.001,84.0732,84.0732,0
9,0,1,4,0.1146,0.8854,58.491,58.491,0
10,1,1,4,0.4686,0.5314,63.1278,63.1278,0
11,2,1,4,0.6111,0.3889,67.0102,67.0102,0
12,3,1,4,0.6731,0.3269,70.4821,70.4821,0
13,4,1,4,0.7807,0.2193,73.6687,73.6687,0
14,5,1,4,0.7429,0.2571,76.6302,76.6302,0
15,6,1,4,0.8358,0.1642,79.3943,79.3943,0
16,7,1,4,0.8718,0.1282,81.9588,81.9588,0
17,8,1,4,0.7273,0.2727,84.2633,84.2633,0
18,0,0,1,0.001,0.999,63.2441,63.2441,0
19,1,0,1,0.0672,0.9328,66.8946,66.8946,0
20,2,0,1,0.0826,0.9174,70.2031,70.2031,0
21,3,0,1,0.0795,0.9205,73.2605,73.2605,0
22,4,0,1,0.1538,0.8462,76.1102,76.1102,0
23,5,0,1,0.2174,0.7826,78.7659,78.7659,0
24,6,0,1,0.3333,0.6667,81.2009,81.2009,0
25,7,0,1,0.2857,0.7143,83.2815,83.2815,0
26,8,0,1,0.999,0.001,84.2775,84.2775,0
27,0,1,1,0.001,0.999,61.0255,61.0255,0
28,1,1,1,0.0455,0.9545,65.2441,65.2441,0
29,2,1,1,0.0522,0.9478,68.8946,68.8946,0
30,3,1,1,0.1,0.9,72.2031,72.2031,0
31,4,1,1,0.0968,0.9032,75.2605,75.2605,0
32,5,1,1,0.1765,0.8235,78.1102,78.1102,0
33,6,1,1,0.2857,0.7143,80.7659,80.7659,0
34,7,1,1,0.1667,0.8333,83.2009,83.2009,0
35,8,1,1,0.3333,0.6667,85.2815,85.2815,0
